constitution	sections_en	sections_ar	aligned	para_mismatch
Argentina_1994	365	365	210	0
Australia_1985	469	469	296	0
Austria_2013	338	338	251	0
Benin_1990	564	564	386	0
Bolivia_2009	749	749	430	0
Canada_2011	856	856	415	0
Colombia_2015	1636	1636	1050	0
Denmark_1953	71	71	40	0
Egypt_2012	746	746	457	1
Egypt_2019	817	817	523	0
German_Federal_Republic_2014	277	277	203	0
Ghana_1996	636	636	424	0
Honduras_2013	1095	1095	661	0
Indonesia_2002	140	140	87	0
Iran_1989	468	468	258	0
Iraq_2005	609	609	266	0
Japan_1946	292	292	176	0
Jordan_2016	315	315	177	0
Kenya_2010	578	578	431	1
Kuwait_1992	447	447	249	0
Lebanon_2004	241	241	126	0
Libya_2012	101	101	57	0
Libya_2016D	523	523	275	0
Mongolia_2001	95	95	78	0
Morocco_2011	720	720	511	0
Netherlands_2008	286	286	176	0
Norway_2016	328	328	200	0
Pakistan_2018	917	917	675	0
Paraguay_2011	912	912	540	0
Poland_2009	396	396	265	0
Portugal_2005	433	433	302	0
Republic_of_Korea_1987	220	220	143	0
Russia_2014	210	210	162	162
South_Africa_2012	875	875	683	1
Spain_2011	301	301	208	0
Sudan_2005	399	399	245	0
Switzerland_2014	371	371	261	0
Syria_2012	302	302	164	0
Tunisia_2008	312	312	220	0
Tunisia_2014	557	557	384	0
Turkey_2017	1112	1112	682	0
United_Arab_Emirates_2009	409	409	234	0
United_States_of_America_1992	252	252	158	4
Venezuela_2009	1019	1019	573	0
Yemen_2015	381	381	192	0
Yemen_2015D	947	947	456	0
