constitution	sections_en	sections_es	aligned	para_mismatch
Argentina_1994	365	365	210	0
Bhutan_2008	114	114	107	0
Bolivia_2009	749	749	430	0
Brazil_2017	1008	1008	566	179
Chile_1925	387	387	243	0
Chile_2018D	682	682	509	0
Chile_2021	1035	1035	799	0
Chile_2022D	655	655	455	2
Chile_2023D	441	441	297	2
Chile_2023DD	466	466	304	0
Colombia_2015	1636	1636	1050	4
Costa_Rica_2020	597	597	340	0
Cuba_2002	450	450	295	0
Cuba_2018D	677	677	380	1
Cuba_2019	717	717	413	0
Denmark_1953	71	71	40	0
Dominican_Republic_2015	794	794	347	0
Ecuador_2021	1556	1556	930	0
Egypt_2019	817	817	523	0
El_Salvador_2014	834	834	523	0
Equatorial_Guinea_2012	308	308	145	0
Estonia_2015	516	516	330	1
German_Federal_Republic_2014	277	277	203	0
Greece_2019	284	284	220	6
Guatemala_1993	931	931	567	0
Haiti_2012	1271	1271	680	80
Honduras_2013	1095	1095	661	0
Iceland_2011D	382	382	256	0
Indonesia_2002	140	140	87	0
Iran_1989	468	468	258	1
Iraq_2005	609	609	266	0
Ireland_2019	291	291	151	1
Italy_2020	575	575	413	0
Japan_1946	292	292	176	0
Kenya_2010	578	578	431	0
Luxembourg_2009	311	311	177	0
Mexico_2015	915	915	741	0
Netherlands_2008	286	286	176	0
Nicaragua_2014	655	655	415	0
Norway_2016	328	328	200	0
Panama_2004	881	881	503	0
Paraguay_2011	912	912	540	0
Peru_2023	734	734	467	0
Philippines_1987	700	700	388	0
Poland_2009	396	396	265	0
Portugal_2005	433	433	302	0
Romania_2003	219	219	157	0
Russia_2014	210	210	162	0
Rwanda_2015	696	696	486	0
South_Africa_2012	875	875	683	0
Spain_2011	301	301	208	0
Syria_2012	302	302	164	0
Tunisia_2014	557	557	384	0
United_States_of_America_1992	252	252	158	4
Uruguay_2004	1044	1044	618	0
Venezuela_2009	1019	1019	573	0
